abstract,article_link,authors,current_issue_index,current_issue_link,current_volume_name,doi,journal_name,title
"Copyrights, which establish intellectual property in music, science, and other creative goods, are intended to encourage creativity. Yet, copyrights also raise the cost of accessing existing work—potentially discouraging future innovation. This paper uses an exogenous shift toward weak copyrights (and low access costs) during World War II to examine the potentially adverse effects of copyrights on science. Using two alternative identification strategies, we show that weaker copyrights encouraged the creation of follow-on science, measured by citations. This change is driven by a reduction in access costs, allowing scientists at less affluent institutions to use existing knowledge in new follow-on research.",https://www.aeaweb.org/articles?id=10.1257/mic.20190113,Barbara Biasi; Petra Moser,13 (4): 218-60,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190113,American Economic Journal: Microeconomics,Effects of Copyrights on Science: Evidence from the WWII Book Republication Program
"We propose a simple method, requiring only minimal data, for bounding demand elasticities in growing, homogeneous-product markets. Since growing demand curves cannot cross, shifts in market equilibrium over time can be used to ""funnel"" the demand curve into a narrow region, bounding its slope. Our featured application assesses the antitrust remedy in the 1952 DuPont decision, ordering incumbents to license patents for commercial plastics. We bound the demand elasticity significantly below 1 in many post-remedy years, inconsistent with monopoly, supporting the remedy's effectiveness. A second application investigates whether the 1911 dissolution of American Tobacco fostered competition in the cigarette market.",https://www.aeaweb.org/articles?id=10.1257/mic.20190012,Wallace P. Mullin; Christopher M. Snyder,13 (4): 172-217,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190012,American Economic Journal: Microeconomics,A Simple Method for Bounding the Elasticity of Growing Demand with Applications to the Analysis of Historic Antitrust Cases
"The prospect of capital obsolescence inhibits investment. Investors thus become more optimistic when the obsolescence of their capital slows down. We propose a model with no fixed costs of investment, and random technological progress that induces obsolescence of capital in place. Spikes occur precisely when technological progress slows down. Moreover, the more variable the progress, the larger are the spikes. Cross-industry data show that where price of capital declines are more variable, investment spikes are larger.",https://www.aeaweb.org/articles?id=10.1257/mic.20190062,Arthur Fishman; Boyan Jovanovic,13 (4): 135-71,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190062,American Economic Journal: Microeconomics,Obsolescence of Capital and Investment Spikes
"We study efficient exclusion policies in a canonical credit model that features both exogenous and strategic default along the equilibrium path. Policies that maximize welfare in a stationary equilibrium implement exclusion for a finite and deterministic number of periods following default. Front-loading exclusion makes the mass of socially valuable transactions as high as it can be in steady state. Less intuitively, doing so also maximizes the average welfare of excluded agents in equilibrium conditional on the level of incentives provided by the threat of exclusion. We argue that these results are robust to a host of natural variations on our benchmark model.",https://www.aeaweb.org/articles?id=10.1257/mic.20190005,Cyril Monnet; Erwan Quintin,13 (4): 101-34,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190005,American Economic Journal: Microeconomics,Optimal Financial Exclusion
"We develop a model wherein concerns about prosecutor quality reduce the willingness of witnesses to cooperate with prosecutors. This causes an increase in the crime rate and in wrongly convicted innocent defendants. Because citizens are taxpayers and may be victims, perpetrators, witnesses, or falsely accused defendants, they care about the prosecutor's quality. They update beliefs about this quality based on the disposition of cases. If the prosecutor's believed quality falls below a threshold, then a majority of voters chooses to replace the prosecutor with a challenger, in expectation of reform. We compare the majority's choice with that of a social planner.",https://www.aeaweb.org/articles?id=10.1257/mic.20200039,Andrew F. Daughety; Jennifer F. Reinganum,13 (4): 64-100,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20200039,American Economic Journal: Microeconomics,"Prosecutor Quality, Witness Participation, Crime, and Reform"
"This paper develops a dynamic structural model of trade in which firms slowly accumulate consumers in foreign markets. Estimating the model using export data from individual firms and a particle Markov chain Monte Carlo estimator, the model predicts lower survival rates for new exporters and estimates low entry costs of exporting—less than half of those estimated in the absence of consumer accumulation. Using simulations and out-of-sample predictions, I show that the introduction of such frictions and the reduction in estimated entry costs allow the model to match important facts regarding the aggregate response of international trade to shocks.",https://www.aeaweb.org/articles?id=10.1257/mic.20190051,Paul Piveteau,13 (4): 23-63,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190051,American Economic Journal: Microeconomics,An Empirical Dynamic Model of Trade with Consumer Accumulation
"We examine a common value dynamic matching environment where adverse selection accrues slowly over time. Theoretical best responses are therefore time varying, and the prior experimental literature suggests that sequential environments might lead to greater understanding of adverse selection in this dynamic setting. However, while a sophisticated minority in our experiment do condition on time and are close to a best response, the majority use a stationary response, even after extended experience. In an environment with persistent uncertainty, our results indicate that sequentiality is insufficient for the large majority of participants to recognize the effects of adverse selection.",https://www.aeaweb.org/articles?id=10.1257/mic.20190088,Felipe A. Araujo; Stephanie W. Wang; Alistair J. Wilson,13 (4): 1-22,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.20190088,American Economic Journal: Microeconomics,The Times They Are A-Changing: Experimenting with Dynamic Adverse Selection
,https://www.aeaweb.org/articles?id=10.1257/mic.13.4.i,,13 (4): i-vi,https://www.aeaweb.org/issues/655,,DOI: 10.1257/mic.13.4.i,American Economic Journal: Microeconomics,Front Matter
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.818,Lars Vilhuber,111: 818-23,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.818,AEA Papers and Proceedings,AEA Data and Code Availability Policy
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.808,Lars Vilhuber,111: 808-17,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.808,AEA Papers and Proceedings,Report by the AEA Data Editor
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.807,Janice Eberly,111: 807,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.807,AEA Papers and Proceedings,Report of the Search Committee for the Editor for the 
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.803,Leto Copeley,111: 803-06,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.803,AEA Papers and Proceedings,Report of the AEA Ombudsperson
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.801,John Cawley,111: 801-02,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.801,AEA Papers and Proceedings,Report of the Ad Hoc Committee on the Job Market
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.789,,111: 789-800,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.789,AEA Papers and Proceedings,Report of the Task Force on Outreach to High School and Undergraduate Students in Economics
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.787,Amanda Bayer,111: 787-88,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.787,AEA Papers and Proceedings,Report of the Task Force on Best Practices for Professional Conduct in Economics
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.785,Kenneth Troske,111: 785-86,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.785,AEA Papers and Proceedings,Report: Committee on Government Relations (CGR)
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.782,John Haltiwanger,111: 782-84,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.782,AEA Papers and Proceedings,Report: American Economic Association Committee on Statistics (AEAStat)
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.780,Lee Badgett; Kitt Carpenter,111: 780-81,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.780,AEA Papers and Proceedings,Report: Committee on Status of LGBTQ+ Individuals in the Economics Profession (CSQIEP)
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.764,Gary A. Hoover; Ebonya Washington,111: 764-79,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.764,AEA Papers and Proceedings,Report: Committee on the Status of Minority Groups in the Economics Profession (CSMGEP)
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.742,Judy Chevalier,111: 742-63,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.742,AEA Papers and Proceedings,Report: Committee on the Status of Women in the Economics Profession (CSWEP)
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.735,Sam Allgood; KimMarie McGoldrick,111: 735-41,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.735,AEA Papers and Proceedings,Report: Committee on Economic Education
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.732,John J. Siegfried,111: 732-34,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.732,AEA Papers and Proceedings,Report: 
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.725,Leeat Yariv,111: 725-31,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.725,AEA Papers and Proceedings,Report of the Editor: 
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.718,Simon Gilchrist,111: 718-24,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.718,AEA Papers and Proceedings,Report of the Editor: 
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.708,Erzo F.P. Luttmer,111: 708-17,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.708,AEA Papers and Proceedings,Report of the Editor: 
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.701,Benjamin Olken,111: 701-07,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.701,AEA Papers and Proceedings,Report of the Editor: 
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.698,Enrico Moretti,111: 698-700,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.698,AEA Papers and Proceedings,Report of the Editor: 
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.694,Steven Durlauf,111: 694-97,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.694,AEA Papers and Proceedings,Report of the Editor: 
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.686,Amy Finkelstein,111: 686-93,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.686,AEA Papers and Proceedings,Report of the Editor: 
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.669,Esther Duflo,111: 669-85,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.669,AEA Papers and Proceedings,Report of the Editor: 
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.659,,111: 659-68,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.659,AEA Papers and Proceedings,"Minutes of the Meeting of Executive Committee, via Zoom, January 2, 2021"
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.651,,111: 651-58,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.651,AEA Papers and Proceedings,"Minutes of the Meeting of Executive Committee, via Zoom, April 24, 2020"
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.650,Peter L. Rousseau,111: 650,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.650,AEA Papers and Proceedings,List of Online Reports
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.647,Charles E. Scott; John J. Siegfried,111: 647-49,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.647,AEA Papers and Proceedings,American Economic Association 2020–2021 Universal Academic Questionnaire Summary Statistics
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.642,Peter L. Rousseau,111: 642-46,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.642,AEA Papers and Proceedings,Report of the Treasurer
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.637,Peter L. Rousseau,111: 637-41,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.637,AEA Papers and Proceedings,Report of the Secretary
,https://www.aeaweb.org/articles?id=10.1257/pandp.111.633,Peter L. Rousseau,111: 633-36,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.111.633,AEA Papers and Proceedings,"Minutes of the Annual Business Meeting via Zoom, January 3, 2021"
"This paper illustrates two algorithms designed in Forneron and Ng (2020): the resampled Newton-Raphson (rNR) and resampled quasi-Newton (rQN) algorithms, which speed up estimation and bootstrap inference for structural models. An empirical application to BLP shows that computation time decreases from nearly five hours with the standard bootstrap to just over one hour with rNR and to only 15 minutes using rQN. A first Monte Carlo exercise illustrates the accuracy of the method for estimation and inference in a probit IV regression. A second exercise additionally illustrates statistical efficiency gains relative to standard estimation for simulation-based estimation using a dynamic panel regression example.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211038,Jean-Jacques Forneron; Serena Ng,111: 626-30,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211038,AEA Papers and Proceedings,Estimation and Inference by Stochastic Optimization: Three Examples
"We study properties of the adversarial framework, introduced in Kaji, Manresa and Pouliot (2020). We show that the adversarial inference with an oracle classifier is statistically efficient. In addition, we study the finite sample properties of the adversarial estimation framework for the autoregressive parameter of a linear dynamic fixed effects panel data model with Gaussian errors. Unlike maximum likelihood, but similarly as other minimum distance estimators, the adversarial estimators do not suffer from the incidental parameter bias. In our simulations, using a one-hidden-layer neural network as discriminator delivers the estimates with smallest root mean squared error.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211037,Tetsuya Kaji; Elena Manresa; Guillaume A. Pouliot,111: 621-25,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211037,AEA Papers and Proceedings,Adversarial Inference Is Efficient
"We propose a proximal bootstrap that can consistently estimate the limiting distribution of √n consistent estimators with nonstandard asymptotic distributions in a computationally efficient manner by formulating the proximal bootstrap estimator as the solution to a convex optimization problem, which can have a closed-form solution for certain designs. This paper considers the application to finite-dimensional regularized estimators, such as the Lasso, ℓ",https://www.aeaweb.org/articles?id=10.1257/pandp.20211036,Jessie Li,111: 616-20,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211036,AEA Papers and Proceedings,The Proximal Bootstrap for Finite-Dimensional Regularized Estimators
We provide large-sample distribution theory for support vector regression (SVR) with ℓ,https://www.aeaweb.org/articles?id=10.1257/pandp.20211035,Yuehao Bai; Hung Ho; Guillaume A. Pouliot; Joshua Shea,111: 611-15,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211035,AEA Papers and Proceedings,Inference for Support Vector Regression under ℓ
"Using high-frequency data for sovereign long-term bond yields and five-year credit default swap spreads, we estimate a regression model to identify a nonlinear link between cross-section deviation of market yield and extreme movements in African markets and other regions. Results indicate that African sovereign bonds have been subject to herding. International investors tend to lump African sovereign bonds into one asset class, pricing risk based on regional market performance instead of individual countries' performance. Moreover, we find evidence of herding spillovers from other regions. Africa is the most vulnerable of developing regions to shifts in market sentiment.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211118,Hanan Morsy; Eman Moustafa; Tiguene Nabassaga; Mustafa Yenice,111: 607-10,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211118,AEA Papers and Proceedings,Investor Herding and Spillovers in African Debt Markets
Native Americans have 3.5 times the COVID-19 infection rate and 1.5 times the death rate of non-Hispanic Whites. We demonstrate that social distancing policies may have unanticipated effects on behaviors. We estimate the effect of nonpharmaceutical interventions (NPIs) on the types of grocery stores visited by individuals residing on and off of American Indian reservations during the pandemic. We find that there is a larger reduction in the distance traveled to grocery stores for on-reservation households than for off-reservation households. We also find an increase in the relative share of trips to convenience stores for reservation residents.,https://www.aeaweb.org/articles?id=10.1257/pandp.20211117,Luis Quintero; Emilia Simeonova; Randall Akee,111: 602-06,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211117,AEA Papers and Proceedings,"Pandemic Protocols, Native Nutrition: Grocery Store Access from American Indian Reservations during COVID-19"
"Many medical professionals left Puerto Rico due to the financial crisis. Puerto Rico passed Act 14 in April 2017 to mitigate the exodus of physicians, reducing the flat tax on medical services to 4 percent. The same year, Puerto Rico was devastated by a Category 4 hurricane, leaving the island without power for several months. A difference-in-difference model is used to estimate the net effects of the hurricane and Act 14 on the number of health-care providers. The number of health-care providers decreased by 6.5 percent, family physicians by 17.5 percent, and specialists by 8 percent.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211116,Jose M. Fernandez,111: 598-601,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211116,AEA Papers and Proceedings,Hurricane Maria and La Crisis Boricua on Health-Care Supply in Puerto Rico
"We examine how firms adjust their labor demand to immigration policy changes resulting from intensified interior immigration enforcement. Using the temporal and geographic variation in the adoption of such policies as a source of identification, we find that firms boost their demand for low-skilled foreign-born labor under the H-2B visa program as enforcement intensifies. Furthermore, firms' increased demand for guest workers is inversely related to natives' employment in occupations where most H-2B workers are hired; however, it does not seem to alter natives' wages or work hours, nor does it seem to redistribute native labor away from those occupations.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211115,Catalina Amuedo-Dorantes; Esther Arenas-Arroyo; Bernhard Schmidpeter,111: 593-97,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211115,AEA Papers and Proceedings,Immigration Enforcement and the Hiring of Low-Skilled Labor
We document new stylized facts on the occupational mix of businesses in the United States and how their internal organization evolves over their life cycles. Our main empirical finding is that younger businesses have fewer hierarchical layers and lower span of control than comparable older businesses do. Our results suggest that businesses become simultaneously more hierarchical and increase their managerial span of control over their life cycles. We show that this pattern is not entirely driven by selection or differences in size and is pervasive across cohorts and sectors.,https://www.aeaweb.org/articles?id=10.1257/pandp.20211121,Elizabeth Weber Handwerker; Sara Moreira; David Piccone Jr.,111: 587-92,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211121,AEA Papers and Proceedings,The Life Cycle of Businesses and Their Internal Organization
"We complement the literature on common ownership by presenting two new observations from entrepreneurial start-ups. First, given the increase in common ownership of start-ups by venture capital investors, inclusion of high-value start-ups in standard common ownership measures may actually increase aggregate measures of common ownership. Second, we suggest that even if public-firm common ownership leads to collusive inefficiency and higher prices in the short term, it may also create opportunities for entry of innovative high-growth start-ups. Consistent with this, we document that entrepreneurial activity and common ownership of start-ups tends to be higher in industries with higher common ownership among public firms.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211120,Ofer Eldar; Jillian Grennan,111: 582-86,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211120,AEA Papers and Proceedings,Common Ownership and Entrepreneurship
"Successful innovation is essential for the survival and growth of organizations, but how best to incentivize innovation is poorly understood. We compare how two common incentive schemes affect innovative performance in a field experiment run in partnership with a large life sciences company. We find that a winner-takes-all compensation scheme generates significantly more novel innovation relative to a compensation scheme that offers the same total compensation but shares it across the ten best innovations. Moreover, the winner-takes-all scheme does not reduce innovative output on average and, among teams of innovators, generates more output than the less risky prize structure.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211119,Joshua Graff Zivin; Elizabeth Lyons,111: 577-81,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211119,AEA Papers and Proceedings,The Effects of Prize Structures on Innovative Performance
"To solicit information from a social network in urban Monrovia, Liberia, we ask community members to assess their neighbors' poverty and assist in targeting a cash transfer. We find little evidence that local leaders, randomly selected neighbors, or neighbors nominated by fellow community members can accurately assess whether others in their community are among the poorest. Yet, all three groups target transfers to the poor modestly better than would be attributable to chance but worse than proxy-means-test-based targeting. We conclude that community advice provides some information for targeting but there are significant information frictions in networks in Monrovia.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211061,Lori Beaman; Niall Keleher; Jeremy Magruder; Carly Trachtman,111: 572-76,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211061,AEA Papers and Proceedings,Urban Networks and Targeting: Evidence from Liberia
"A planner aims to target individuals who exceed a threshold in a characteristic, such as wealth or ability. The individuals can rank their friends according to the characteristic. We study a strategy-proof mechanism for the planner to use the rankings for targeting. We discuss how the mechanism works in practice when the rankings may contain errors.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211060,Francis Bloch; Matthew Olckers,111: 567-71,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211060,AEA Papers and Proceedings,Friend-Based Ranking in Practice
"There is growing interest in market design using default rules and other ""choice architecture"" principles to steer consumers toward desirable outcomes. Using data from Massachusetts's health insurance exchange, we study an ""automatic retention"" policy intended to prevent coverage interruptions among low-income enrollees. Rather than disenroll people who lapse in paying premiums, the policy automatically switches them to an available free plan until they actively cancel or lose eligibility. We find that automatic retention has a sizable impact, switching 14 percent of consumers annually and differentially retaining healthy, low-cost individuals. The results illustrate the power of defaults to shape insurance coverage outcomes.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211083,Adrianna McIntyre; Mark Shepard; Myles Wagner,111: 560-66,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211083,AEA Papers and Proceedings,Can Automatic Retention Improve Health Insurance Market Outcomes?
"In markets with complicated products such as insurance, why do firms offer many products even when consumers appear to receive little benefit? We show that when consumers face information acquisition costs, firms may have an incentive to introduce many undifferentiated products. This allows firms to gain market share and increase markups. We document initial evidence consistent with the model using data from Medicare prescription drug insurance. Insurers that offer more duplicate or similar plans have higher-cost plans. These results suggest a role for policymakers to restrict product proliferation in markets with complicated products.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211082,Zach Y. Brown; Jihye Jeon,111: 554-59,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211082,AEA Papers and Proceedings,Product Proliferation under Rational Inattention: Application to Health Insurance
